"性別" "憂鬱" "被霸凌" "指數" "年齡"
女 15 2 14.52 14
女 14 4 16.8 14
女 13 2 16.44 15
女 6 0 21.5 15
女 3 0 18.49 16
女 24 0 29.3 15
女 8 1 18.13 16
女 42 3 19.23 12
女 16 1 20.83 17
女 7 1 20.55 17
女 30 1 20.98 17
女 17 2 16.82 13
女 19 0 18.66 15
女 6 2 19.48 12
女 20 5 23.12 12
女 44 12 26.26 13
女 39 6 20.47 18
女 19 3 21.76 17
女 15 0 18.99 16
女 33 3 20.43 17
女 4 1 18.36 17
女 19 2 25.86 18
女 8 0 14.88 13
女 9 0 19.72 16
女 11 0 22.06 14
女 8 2 19.23 15
女 29 2 17.51 13
女 26 6 23.35 12
女 14 1 18.75 17
女 17 2 20.5 13
女 36 2 20 13
女 15 3 28.58 14
女 37 9 22.19 12
女 22 2 17.19 15
女 17 2 20.7 15
女 10 0 16.42 16
女 9 3 21.23 17
女 17 2 21.72 17
女 9 1 20.44 16
女 13 5 23.83 14
女 5 2 19.6 15
女 7 2 26.13 17
女 2 1 22.5 14
女 27 3 17.58 15
女 28 4 18.07 12
女 38 0 18.83 18
女 23 3 18.31 15
女 8 3 18.31 15
女 14 1 18.13 17
女 7 0 19.47 16
女 5 1 16.02 13
女 14 1 17.51 13
女 22 4 14.64 18
女 24 0 19.48 14
女 8 2 24.65 13
女 9 3 25.4 18
女 19 2 16.66 17
女 13 0 16.59 12
女 38 9 26.23 14
女 13 1 15.82 12
女 17 4 21.08 14
女 14 4 21.48 14
女 22 0 34.11 17
女 9 1 16.3 12
女 10 0 21.15 18
女 14 4 18.07 15
女 4 0 18.55 15
女 35 2 21.63 15
女 4 1 16.89 12
女 32 6 20.06 18
女 27 2 23.88 17
女 16 2 15.92 17
女 6 1 17.04 17
女 7 0 19.17 13
女 9 2 21.78 13
女 20 6 17.79 13
女 21 5 17.71 12
女 21 2 22.83 15
女 8 2 19.23 13
女 7 2 17.98 15
女 41 3 17.89 17
女 8 0 20.55 14
女 26 1 15.43 16
女 10 2 17.15 12
女 14 0 19.56 17
女 9 2 20.34 14
女 15 3 15.11 12
女 15 2 19.61 14
女 19 4 18.21 13
女 13 0 22.35 13
女 5 5 17.48 12
女 1 0 20.96 16
女 12 0 18.22 13
女 20 1 20.2 16
女 7 0 17.9 12
女 21 1 18.2 12
女 9 1 15.82 14
女 9 1 16.61 15
女 13 6 21.48 16
女 35 6 17.57 17
女 10 4 19.23 15
女 13 6 19.53 13
女 25 2 18.73 18
女 2 3 15.15 13
女 13 1 15.52 14
女 27 2 28.63 17
女 2 1 15.63 14
女 36 11 15.24 13
女 15 2 24.12 18
女 7 1 19.49 16
女 18 3 24.35 13
女 7 0 23.07 15
女 6 1 17.51 12
女 13 1 20.28 17
女 11 1 18.73 17
女 14 2 18.59 15
女 8 1 22.49 14
女 3 2 17.21 15
女 8 2 18.51 17
女 28 2 16.65 15
女 23 2 24.31 14
女 3 1 27.34 17
女 24 1 18.29 18
女 26 1 22.22 13
女 36 5 18.44 16
女 18 2 17.31 14
女 6 2 17.71 17
女 13 1 26.45 15
女 4 0 18.36 16
女 15 3 20 16
女 50 2 18.13 17
女 27 3 19.36 17
女 11 0 16.67 12
女 14 1 19.19 15
女 38 5 20.17 16
女 9 0 17.78 12
女 40 12 17.44 13
女 9 1 18.14 15
女 1 1 21.78 13
女 13 2 17.42 15
女 9 1 18.43 13
女 19 0 18.18 15
女 30 3 19.41 15
女 12 0 16.45 13
女 13 2 19.53 17
女 22 5 21.23 17
女 6 3 19.05 18
女 31 3 24.03 17
女 4 1 22.68 17
女 12 0 20.17 12
女 6 1 21.99 16
女 15 4 17.04 14
女 16 1 16.2 18
女 7 1 18.03 15
女 7 0 20.34 14
女 10 5 18.42 18
女 9 3 17.94 14
女 18 3 19.48 14
女 4 0 17.29 17
女 6 1 19.91 16
女 10 1 22.55 12
女 15 1 20.69 17
女 6 2 20.83 16
女 32 5 15.9 14
女 7 0 20.45 17
女 15 0 16.16 15
女 2 1 17.58 12
女 7 2 22.21 14
女 23 3 19.57 18
女 2 0 21.83 18
女 47 9 28.8 13
女 9 3 17.22 13
女 7 0 19.56 16
女 14 3 19.68 15
女 23 2 18.07 17
女 0 0 16.65 14
女 8 2 24.65 17
女 32 5 20.28 14
女 39 4 19.53 17
女 17 1 17.63 16
女 13 0 17.22 17
女 8 0 18.37 17
女 11 1 16.38 17
女 20 2 21.09 15
女 13 1 18.37 17
女 17 0 17.19 15
女 41 6 40.54 14
女 19 3 19.67 12
女 6 0 17.8 16
女 5 1 19.07 14
女 24 3 20.34 13
女 16 4 12.86 15
女 8 1 18.97 17
女 27 4 17.65 13
女 25 4 15.63 17
女 5 0 21.76 15
女 9 1 18.59 13
女 3 1 33.23 15
女 17 1 21.64 16
女 6 2 15.11 12
女 3 4 24.14 15
女 8 2 21.76 14
女 22 0 21.64 17
女 8 4 20.93 16
女 11 3 29.05 13
女 11 1 20.2 13
女 29 9 22.85 13
女 29 2 20.32 16
女 17 0 23.14 14
女 26 1 19.83 17
女 6 1 30.08 13
女 12 0 19.47 13
女 24 2 18.75 14
女 15 2 20.27 18
女 5 2 25.91 15
女 14 3 20.57 13
女 5 2 22.04 16
女 15 7 18.13 12
女 16 0 20.75 16
女 34 2 18.08 14
女 7 1 18.37 15
女 3 1 20.24 15
女 7 3 19.03 15
女 17 0 19.15 12
女 16 2 18.59 16
女 20 1 21.34 15
女 26 2 31.22 14
女 3 0 21.37 12
女 20 3 18.13 17
女 5 3 19.9 13
女 4 1 19.29 16
女 28 2 22.62 15
女 15 0 17.01 16
女 29 4 18.52 16
女 23 2 18.88 15
女 14 4 36.05 13
女 19 2 19.29 17
女 24 0 21.8 15
女 4 1 18.37 15
女 11 1 27.55 15
女 13 2 17.97 17
女 9 3 16.02 12
女 2 1 20.96 16
女 27 0 21.23 15
女 6 1 27.92 16
女 6 1 20.45 16
女 7 6 17.97 13
女 14 0 19.2 16
女 37 4 22.75 14
女 7 0 23.81 13
女 9 1 17.63 15
女 4 2 15.6 13
女 38 7 17.26 13
女 22 2 22.77 14
女 25 2 17.85 16
女 25 2 20.93 12
女 25 4 21.48 15
女 11 2 17.71 13
女 21 1 17.67 14
女 2 0 20.24 17
女 8 0 24.01 14
女 26 4 19.1 13
女 5 1 19.05 17
女 10 2 20.2 16
女 32 7 24.91 18
女 11 1 20.31 14
女 7 3 16.41 14
女 14 1 17.58 17
女 21 3 20.55 18
女 6 3 12.49 13
女 18 5 17.8 14
女 7 3 21.22 14
女 9 2 21.76 17
女 27 0 21.45 17
女 11 1 23.74 15
女 10 3 16.63 14
女 16 3 18.67 14
女 33 3 20.83 18
女 16 3 15.82 13
女 9 1 18.36 16
女 12 2 22.22 17
女 15 2 17.34 13
女 44 6 19.26 12
女 22 1 20.69 14
女 22 3 21.76 18
女 32 7 27 15
女 14 3 17.58 13
女 32 4 16.18 17
女 21 4 29.29 15
女 12 2 13.9 18
女 30 0 19.11 15
女 27 5 20.89 16
女 7 1 17.8 12
女 23 5 21.37 18
女 42 3 18.22 15
女 47 4 26.35 14
女 33 6 17.47 13
女 19 4 18.77 13
女 10 0 24.61 15
女 17 2 18.95 15
女 16 1 18.17 15
女 20 4 18.37 14
女 6 0 16.03 17
女 8 0 16.32 13
女 19 1 21.23 14
女 24 2 18 14
女 17 4 18.36 13
女 15 0 15.81 14
女 38 1 20.7 16
女 16 0 28.51 17
女 10 0 22.89 14
女 19 2 20.96 15
女 39 4 23.71 15
女 16 4 19.48 17
女 14 1 15.56 12
女 5 0 17.91 17
女 17 4 18.97 12
女 7 3 16.88 15
女 18 3 21.08 15
女 10 0 21.23 16
女 10 2 19.88 17
女 12 2 19.53 17
女 11 0 18.31 17
女 15 0 23.34 14
女 3 4 19.53 14
女 13 0 22.89 17
女 15 2 17.67 12
女 14 0 19.57 17
女 15 1 20.7 15
女 3 0 20.31 13
女 17 3 20.24 14
女 9 1 19.81 16
女 16 2 19.56 15
女 28 3 32.31 14
女 24 2 19.53 15
女 31 7 17.53 18
女 13 1 17.33 15
女 12 0 15.82 17
女 5 0 24.09 15
女 34 4 22.48 16
女 18 4 22.77 16
女 39 6 26.04 14
女 27 3 21.63 17
女 7 0 22.15 16
女 16 0 17.91 16
女 22 1 18.9 15
女 19 5 17.78 17
女 1 0 18.82 16
女 5 1 16.63 15
女 16 2 19.29 13
女 22 3 21.11 15
女 44 6 16.85 12
女 57 2 26.37 17
女 3 1 18.07 17
女 44 9 25.97 13
女 31 2 18.56 16
女 15 2 18.42 12
女 3 1 20.06 15
女 22 1 16.56 15
女 25 0 17.36 13
女 7 2 19.35 13
女 28 4 21.62 15
女 10 3 18.82 13
女 10 0 25.39 13
女 16 0 16.66 14
女 16 0 17.69 18
女 31 5 19.17 12
女 31 0 18.59 16
女 21 3 24.17 18
女 24 1 17.64 12
女 21 3 17.22 17
女 13 1 22.83 12
女 20 1 16.44 14
女 3 1 14.13 13
女 31 8 24.97 12
女 34 3 19.34 17
女 9 4 23 16
女 16 2 18.82 13
女 21 6 20.83 14
女 14 3 20.44 13
女 22 2 25.15 17
女 28 4 17.75 14
女 10 2 16.65 15
女 17 0 18.03 16
女 14 4 24.97 13
女 9 0 22.51 12
女 35 0 17.26 16
女 10 1 18.43 18
女 35 6 22.48 14
女 19 2 22.37 17
女 7 2 28.89 13
女 18 3 23.71 15
女 21 5 20.08 13
女 4 0 24.8 17
女 30 0 22.43 16
女 36 3 19.95 15
女 24 2 18.46 12
女 38 2 18.82 16
女 8 0 22.86 18
女 21 2 19.98 12
女 9 0 25.08 15
女 7 2 17.59 15
女 27 2 18.03 15
女 8 0 16.42 13
女 4 0 17.26 16
女 28 2 24.22 15
女 13 3 17.07 12
女 7 6 16.02 14
女 16 1 18.73 15
女 11 1 20.55 18
女 13 2 21.83 13
女 19 0 38.16 17
女 13 0 25.39 14
女 15 1 21.72 16
女 20 2 24.55 13
女 3 0 20.07 14
女 22 0 20.96 17
女 25 4 30.47 18
女 13 0 18.82 17
女 16 1 24.65 13
女 6 1 22.6 16
女 25 4 15.62 17
女 13 2 24.74 13
女 10 0 20.78 17
女 3 1 18.08 17
女 20 1 22.31 17
女 17 1 25.1 17
女 11 2 18.14 15
女 11 1 16.23 13
女 14 1 17.71 13
女 10 1 15.75 14
女 15 2 15.18 14
女 25 4 20 12
女 7 0 23.07 17
女 18 0 21.48 17
女 35 4 16.53 16
女 31 0 17.86 15
女 9 0 20.83 12
女 13 4 18.48 17
女 17 2 16.88 12
女 10 0 19.53 13
女 42 3 19.47 16
女 14 3 22.86 14
女 5 2 20.7 15
女 15 4 19.53 14
女 35 0 21.01 14
女 14 2 21.99 16
女 27 3 20.81 16
女 35 7 27.31 12
女 41 5 17.09 15
女 9 1 18.75 17
女 15 2 23.68 13
女 21 2 28.58 12
女 10 0 19.92 15
女 34 4 20.83 17
女 30 10 13.67 12
女 25 0 19.13 15
女 23 5 22.31 16
女 24 4 21.4 13
女 16 1 13.27 12
女 12 0 20.44 17
女 4 0 18.02 13
女 13 0 17.71 12
女 4 2 18.9 17
女 21 1 21.23 17
女 19 0 14.82 12
女 24 0 19.23 16
女 5 0 20.83 16
女 32 6 17.58 16
女 43 2 17.63 15
女 16 3 18.26 13
女 34 7 18.82 17
女 19 0 24.97 18
女 26 11 22.72 14
女 30 1 20.28 13
女 10 5 19.63 14
女 6 0 18.75 17
女 47 1 19.07 16
女 13 4 23.71 12
女 13 0 17.44 17
女 10 3 19.53 15
女 30 3 13.96 13
女 13 2 15.43 16
女 17 1 19.31 13
女 22 5 18.43 15
女 12 2 24.24 17
女 11 1 14.78 14
女 21 2 19.43 16
女 16 0 18.9 15
女 20 0 20.18 17
女 9 1 17.26 12
女 5 0 22.89 15
女 19 1 24.03 17
女 19 1 16.65 15
女 14 1 18.26 17
女 10 2 18.92 13
女 17 0 17.85 16
女 16 0 23.12 14
女 2 0 16.94 14
女 24 4 18.9 13
女 12 1 17.26 12
女 13 4 15.25 12
女 5 0 19.72 15
女 9 2 11.71 13
女 10 4 31.24 18
女 12 4 19.56 17
女 48 4 18.26 14
女 11 3 20.96 13
女 21 3 19.68 14
女 30 3 19.71 16
女 8 1 19.05 16
女 6 4 20.08 16
女 27 2 18 16
女 17 2 20.96 15
女 19 1 20.54 14
女 18 3 28.91 13
女 11 0 19.53 17
女 41 3 22.31 16
女 14 7 15.63 14
女 25 1 19.74 12
女 18 2 17.75 12
女 6 2 16.73 16
女 8 3 20.45 17
女 8 0 16.23 18
女 19 2 21.67 18
女 24 4 21.99 17
女 21 0 20.34 15
女 12 2 18.07 17
女 0 0 17.6 15
女 33 1 22.48 13
女 14 0 18.8 12
女 9 1 20.34 18
女 5 2 20.34 12
女 27 5 20.82 13
女 37 2 22.38 16
女 45 1 25.54 18
女 15 3 35.84 17
女 27 6 18.54 13
女 7 0 27.89 13
女 14 1 21.34 16
女 9 0 17.91 16
女 4 5 18.59 18
女 0 1 16.22 13
女 23 12 17.04 13
女 19 4 19.82 13
女 8 1 15.84 14
女 9 4 21.48 17
女 16 0 20.96 17
女 9 2 20.83 17
女 6 2 20.23 15
女 51 6 18.29 14
女 15 2 18.36 17
女 30 8 26.67 14
女 52 4 12.86 12
女 4 1 19.53 17
女 6 1 19.84 15
女 12 3 17.72 15
女 34 4 23.23 15
女 30 4 21.92 13
女 23 1 17.63 18
女 9 0 21.79 17
女 16 4 18.07 17
女 3 1 19.23 12
女 35 2 19.81 16
女 14 4 10.23 12
女 14 1 18.69 14
女 19 2 18.26 18
女 24 2 21.88 16
女 8 2 16.96 14
女 7 0 20.96 12
女 3 0 14.36 12
女 16 3 20.93 18
女 19 1 17.67 14
女 12 0 18.18 13
女 8 1 16.44 13
女 24 2 20.43 14
女 1 0 20.58 16
女 8 0 22.55 15
女 18 1 18.14 17
女 38 3 20.31 16
女 8 2 19.48 14
女 13 1 18.03 15
女 13 1 19.81 17
女 13 0 21.19 17
女 6 0 22.48 15
女 23 3 21.23 17
女 10 1 16.44 18
女 5 3 23.44 13
女 8 4 21.3 13
女 35 0 22.23 18
女 6 2 17.98 12
女 8 2 17.48 14
女 24 0 28.65 13
女 4 0 18.66 15
女 9 2 22.95 17
女 10 6 14.01 13
女 14 0 15.77 13
女 2 0 19.84 16
女 18 0 19.1 15
女 7 6 21.5 13
女 48 8 25.2 12
女 5 2 12.44 14
女 11 4 17.58 13
女 12 4 21.64 13
女 18 1 19.6 17
女 6 0 18.13 13
女 22 1 22.06 17
女 5 0 19.72 17
女 12 2 15.58 13
女 33 2 23.05 13
女 21 4 20.96 14
女 19 4 17.19 16
女 8 0 18.2 15
女 1 0 23.95 13
女 36 2 23.71 15
女 15 2 24.46 15
女 16 2 21.5 16
女 8 2 21.05 18
女 17 4 21.97 16
女 12 0 17.75 17
女 14 4 19.07 17
女 11 2 25.72 15
女 23 4 24.56 15
女 1 0 23.71 14
女 33 7 16.23 13
女 32 2 23.23 15
女 7 3 22.94 12
女 8 0 22.66 16
女 16 4 17.44 15
女 14 1 17.63 15
女 15 1 20.7 17
女 11 3 20.08 13
女 35 4 19.14 17
女 20 0 19.15 17
女 16 5 16.09 13
女 43 0 19.1 14
女 25 4 15.31 13
女 13 4 18.72 14
女 21 2 18.43 18
女 32 1 21.17 15
女 10 3 20.45 13
女 1 2 23.24 12
女 15 1 16.04 16
女 7 2 16.69 14
女 14 4 22.51 14
女 16 3 18.75 13
女 6 0 23.12 17
女 19 0 19.53 15
女 20 3 20.81 16
女 38 1 16.23 12
女 7 0 19.47 17
女 2 2 31.25 16
女 7 2 20 16
女 48 4 22.19 17
女 38 6 24.77 17
女 27 2 20.81 16
女 8 1 20.82 12
女 16 2 17.04 15
女 26 3 20.96 18
女 22 0 17.01 16
女 17 0 21.91 16
女 14 3 22.58 15
女 13 0 19.05 16
女 11 6 20.2 15
女 6 2 19.63 13
女 31 1 18.87 18
女 22 2 20.7 16
女 40 0 18.37 16
女 23 2 18.42 16
女 15 2 17.22 17
女 33 2 15.58 18
女 40 8 20.17 15
女 41 5 17.12 13
女 3 1 23.71 16
女 7 0 20.03 12
女 13 3 17.58 17
女 15 0 20.03 17
女 13 2 20.81 13
女 4 2 21.78 13
女 4 0 18.9 16
女 10 1 18.29 16
女 10 4 18 15
女 24 12 18.8 14
女 20 3 19.53 13
女 22 1 20.82 12
女 8 0 18.49 13
女 13 1 19.48 17
女 12 0 24.03 12
女 10 3 23.73 15
女 21 1 21.79 17
女 18 1 17.58 13
女 37 6 23.23 13
女 15 1 20.82 16
女 32 2 17.91 18
女 8 3 21.48 15
女 43 4 14.95 12
女 37 5 16.23 13
女 6 1 24.77 12
女 33 9 21.46 13
女 10 1 21.72 17
女 12 5 18.44 13
女 19 1 20.7 17
女 19 4 25.71 15
女 14 0 20.93 16
女 15 1 20.81 16
女 2 2 16.03 14
女 36 3 15.48 12
女 27 5 16.23 12
女 17 1 16.23 15
女 17 2 20.08 13
女 24 6 22.17 15
女 24 1 22.89 16
女 21 1 23.73 16
女 18 2 20.43 17
女 8 1 20.55 18
女 1 2 19.65 15
男 26 4 24.24 13
男 24 0 25.71 13
男 44 5 16.9 15
男 3 3 17.48 13
男 19 5 21.47 14
男 13 0 14.48 15
男 9 2 22.49 15
男 24 2 22.04 15
男 25 3 17.58 17
男 6 3 20.83 13
男 17 3 23.31 14
男 9 2 28.72 13
男 16 0 18.31 16
男 23 3 20.06 14
男 4 0 19.31 13
男 12 0 28.65 14
男 8 1 21.9 16
男 29 8 20.32 14
男 14 4 18.83 16
男 4 0 18.69 15
男 30 2 20.03 14
男 22 2 22.72 16
男 4 1 20.9 13
男 9 2 21.05 12
男 19 2 15.24 15
男 9 0 17.9 13
男 11 2 17.92 14
男 35 0 30.86 15
男 16 3 20.54 13
男 22 4 19.95 12
男 27 5 19.46 12
男 12 0 15.51 12
男 4 0 18.7 16
男 6 2 17.3 17
男 19 4 19.15 17
男 8 2 22.31 14
男 28 7 24 14
男 9 2 22.04 15
男 19 1 25.95 17
男 2 0 22.55 17
男 11 1 27.76 17
男 3 4 26.81 12
男 15 5 19.3 13
男 7 1 20.57 16
男 12 0 17.27 12
男 25 2 25.15 15
男 12 0 23.44 14
男 9 0 24.28 12
男 12 0 18.52 15
男 20 0 17.99 13
男 8 1 16.49 14
男 23 6 17.26 17
男 12 1 21.6 17
男 11 0 18.29 14
男 26 2 20.2 14
男 13 2 21.64 15
男 6 1 17.43 15
男 11 3 23.66 14
男 12 6 19.96 14
男 12 4 32.61 14
男 4 0 20.8 15
男 19 1 16.85 15
男 12 0 14.27 13
男 22 4 18.08 16
男 18 4 18.17 15
男 17 3 25.73 13
男 25 1 16.37 14
男 23 4 23.12 16
男 9 4 20.2 12
男 4 0 17.83 17
男 36 4 18.65 16
男 14 4 25.54 17
男 12 4 19.57 16
男 8 1 20.76 12
男 19 4 20.76 16
男 43 8 22.14 15
男 19 4 18.46 12
男 21 2 29.07 13
男 13 0 21.91 16
男 11 3 15.63 13
男 28 10 31.16 15
男 3 0 20.45 13
男 18 0 24.34 14
男 20 1 20.06 15
男 7 1 22.99 13
男 20 2 17.12 12
男 17 1 19.53 15
男 25 0 18.29 16
男 27 4 16.53 14
男 7 4 19.6 13
男 16 3 19.81 14
男 22 2 20.99 15
男 22 3 24.62 12
男 10 3 19.36 14
男 37 0 18.2 13
男 5 0 25.71 15
男 29 2 32.65 14
男 4 0 33.9 15
男 20 4 16.26 17
男 21 4 22.98 17
男 43 6 20.98 18
男 29 7 16.11 18
男 19 0 17.63 14
男 6 2 19.26 16
男 2 1 18.17 15
男 11 3 18.07 17
男 23 1 16.71 15
男 3 1 18.33 17
男 12 2 31.38 16
男 13 0 20.37 16
男 6 1 15.62 13
男 16 5 15.63 13
男 12 5 14.37 16
男 23 0 17.58 15
男 20 4 20.99 17
男 5 0 23.78 17
男 23 4 28.41 17
男 12 0 19.72 16
男 6 1 18.93 17
男 4 1 20.03 13
男 7 1 24.98 17
男 6 0 23.03 16
男 16 2 17.21 12
男 0 0 18.75 16
男 12 2 19.37 12
男 19 3 17.31 12
男 19 2 20.34 14
男 16 0 18.37 15
男 7 1 16.87 12
男 18 2 18.81 13
男 8 0 24.44 17
男 24 4 25.71 18
男 9 0 28.73 15
男 6 1 15.57 18
男 38 4 20.76 13
男 12 0 18.25 12
男 16 3 22.49 17
男 7 0 21.34 14
男 5 1 16.44 14
男 2 1 19.37 17
男 3 0 17.99 16
男 8 12 16.77 15
男 7 0 22.31 12
男 6 2 19.38 18
男 28 2 16.76 16
男 15 2 21.36 12
男 23 2 27.34 17
男 6 0 18.52 14
男 18 1 18.71 13
男 31 5 25.5 15
男 18 1 28.37 16
男 30 3 19.62 18
男 14 1 20.06 17
男 13 1 17.16 12
男 18 3 20.2 17
男 21 5 20.52 17
男 22 3 30.86 13
男 8 3 16.56 16
男 12 1 17.07 13
男 8 1 20.62 16
男 13 0 25.38 15
男 15 3 24.56 13
男 14 0 21.2 17
男 13 2 26.12 15
